STATEFP,State,SLDLST,GEOID,NAMELSAD,Area,Perimeter,Polsby-Popper,Schwartzberg Radius,Schwartzberg Perimeter,Schwartzberg,Convex Hull Area,Area/Convex Hull,MBC Area,Reock
02,AK,001,02001,State House District 1,21445809.9241,27001.8108828,36.96291105840,2612.74167917,16416.3262637,60.79713073670,27109784.0569,79.10726946070,43544790.263,49.25000165
02,AK,002,02002,State House District 2,91492381.6942,54084.3155750,39.30535779190,5396.56874346,33907.6127975,62.69398519150,116893749.9760,78.26969509750,197428189.872,46.34210634
02,AK,003,02003,State House District 3,156149072.3310,99124.2582422,19.97050304960,7050.09471032,44297.0140820,44.68836878840,203011921.5570,76.91620823710,496655042.113,31.4401464
02,AK,004,02004,State House District 4,2085572114.7600,217000.8414140,55.65598496170,25765.45717070,161889.0051860,74.60293892460,2300713992.2800,90.64890819800,3890800592.390,53.6026472
02,AK,005,02005,State House District 5,3649737569.2800,338686.8488270,39.98291636790,34084.43239320,214158.6239240,63.23204596390,4029855339.8200,90.56745866820,8828199945.450,41.34180911
02,AK,006,02006,State House District 6,317544711233.0000,4804506.0949400,17.28689060680,317927.20278000,1997593.8419600,41.57750666740,423026249207.0000,75.06501353720,684815145487.000,46.36940543
02,AK,007,02007,State House District 7,74597391.6870,57286.1532862,28.56497302290,4872.89516757,30617.2774590,53.44620942870,101087663.2030,73.79475330950,292403136.288,25.51183022
02,AK,008,02008,State House District 8,1828753476.7100,231698.2258450,42.80743888420,24126.97251450,151594.1111640,65.42739402130,2078400755.8100,87.98849170920,3643626228.880,50.19047953
02,AK,009,02009,State House District 9,67562873970.8000,1875340.0167700,24.14112866050,146649.06712700,921422.4855910,49.13362256180,87774425641.8000,76.97330227660,181086339889.000,37.30975733
02,AK,010,02010,State House District 10,31571061436.6000,1010073.7323100,38.88593324740,100246.64314100,629867.7032510,62.35858661630,39594687987.0000,79.73559848980,67275372440.900,46.92811097
02,AK,011,02011,State House District 11,154493410.9770,74744.4939238,34.75049918600,7012.61874068,44061.5458191,58.94955401530,209185143.6160,73.85486765760,536927745.246,28.77359428
02,AK,012,02012,State House District 12,2532011384.0100,276512.2983910,41.61465005410,28389.52159210,178376.4742770,64.50941795900,3059639834.2900,82.75521045430,4955730174.190,51.09259978
02,AK,013,02013,State House District 13,250036500.3390,88822.5260729,39.82599808340,8921.27553609,56053.9800228,63.10784268490,298091711.6130,83.87905151270,635660276.890,39.33492613
02,AK,014,02014,State House District 14,862869531.8760,142437.4664230,53.44488551680,16572.87345270,104130.3470210,73.10600899890,1010201509.1900,85.41558530910,1610881040.250,53.56506845
02,AK,015,02015,State House District 15,80975326.8370,50361.3470510,40.12061031090,5076.93498487,31899.2963582,63.34083225750,102393457.6240,79.08252022740,204759664.666,39.54652249
02,AK,016,02016,State House District 16,7709525.3267,14496.3646814,46.10191066860,1566.53126432,9842.7979094,67.89838780740,8993898.9455,85.71950133620,21116286.561,36.50985368
02,AK,017,02017,State House District 17,11475018.4210,19040.3497099,39.77526182810,1911.18154365,12008.2976514,63.06763181540,15320293.9972,74.90077163730,24631457.157,46.5868436
02,AK,018,02018,State House District 18,10884988.1281,19421.0881096,36.26522194940,1861.39793133,11695.4982542,60.22061270820,13991707.5875,77.79599494940,27436287.602,39.67369159
02,AK,019,02019,State House District 19,6677807.7624,13649.3808414,45.04198346430,1457.94856707,9160.5532776,67.11332465610,8259641.3824,80.84864043420,15767621.418,42.35139585
02,AK,020,02020,State House District 20,24157358.7703,27290.9202515,40.75891228940,2773.00065196,17423.2622364,63.84270693640,30833141.5783,78.34867786320,54240778.785,44.53726387
02,AK,021,02021,State House District 21,287266936.7620,83280.6122500,52.04839261680,9562.42559088,60082.4412241,72.14457194880,333372332.3550,86.16999939160,644735020.544,44.55581403
